name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kolkata,01-01-2022,23,16,19.1,23,16,19.1,15.1,79.3,0,0,0,,0,0,,18.4,343.4,1018.6,10.8,2.6,177.7,15.5,7,,2022-01-01T06:16:42,2022-01-01T17:03:21,0.99,Clear,Clear conditions throughout the day.,clear-day,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
kolkata,02-01-2022,23,14,17.9,23,14,17.9,14.6,82.3,0,0,0,,0,0,,14.8,336.3,1017.3,21.9,2.2,147.8,12.6,6,,2022-01-02T06:17:00,2022-01-02T17:04:00,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,03-01-2022,24,14,18.4,24,14,18.4,14.1,77.6,0,0,0,,0,0,,13,352,1015.9,15,2.4,191,16.4,7,,2022-01-03T06:17:17,2022-01-03T17:04:39,0,Clear,Clear conditions throughout the day.,clear-day,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,04-01-2022,23,13,17.6,23,13,17.6,13.4,78,0,0,0,,0,0,,11.2,357.8,1016.6,1,2.2,185.9,15.9,7,,2022-01-04T06:17:32,2022-01-04T17:05:18,0.02,Clear,Clear conditions throughout the day.,clear-day,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,05-01-2022,24,13,17.9,24,13,17.9,13,75.7,0,0,0,,0,0,,16.6,345,1015.8,6,2.1,184.5,15.9,7,,2022-01-05T06:17:47,2022-01-05T17:05:58,0.05,Clear,Clear conditions throughout the day.,clear-day,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,06-01-2022,25,13.9,19.1,25,13.9,19.1,13.6,73.7,0,0,0,,0,0,,11.2,345.5,1015.2,4.4,2.3,184,15.7,7,,2022-01-06T06:18:00,2022-01-06T17:06:39,0.09,Clear,Clear conditions throughout the day.,clear-day,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,07-01-2022,26,15,20.2,26,15,20.2,15.8,77.5,0,0,0,,0,0,,11.2,358.5,1015.9,0.4,2.3,180.4,15.5,7,,2022-01-07T06:18:12,2022-01-07T17:07:19,0.14,Clear,Clear conditions throughout the day.,clear-day,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,08-01-2022,27,16,21.3,27.3,16,21.4,15.8,73.4,0,0,0,,0,0,,13,7.8,1015.7,1.7,2.4,188.3,16.2,7,,2022-01-08T06:18:22,2022-01-08T17:08:00,0.19,Clear,Clear conditions throughout the day.,clear-day,"42807099999,42811099999,VECC,42812099999,42809099999"
kolkata,09-01-2022,27,16.8,21.4,28.2,16.8,21.6,17.5,79.6,0,0,0,,0,0,,11.2,25.9,1013.7,1.3,2.5,192.8,16.8,7,,2022-01-09T06:18:32,2022-01-09T17:08:42,0.24,Clear,Clear conditions throughout the day.,clear-day,"42807099999,42811099999,42805099999,VECC,42812099999,42809099999"
kolkata,10-01-2022,26.7,16,21.6,27.5,16,21.6,17.7,79.6,0,0,0,,0,0,8.3,11.2,17.2,1014.5,31.3,2.4,180.5,15.6,7,10,2022-01-10T06:18:40,2022-01-10T17:09:23,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42807099999,42811099999,42805099999,VECC,42812099999,42809099999"
kolkata,11-01-2022,27,18,22.2,28.8,18,22.4,18.9,82.6,11.491,100,4.17,rain,0,0,34.2,22.3,346.9,1014.5,61.9,2,187.4,16.1,7,10,2022-01-11T06:18:46,2022-01-11T17:10:05,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42807099999,42811099999,42805099999,VECC,42812099999,42809099999"
kolkata,12-01-2022,22,18,19.5,22,18,19.5,17.6,89.1,0.006,100,8.33,rain,0,0,27.4,14.8,351,1014.4,88.9,2.5,50.3,4.5,3,10,2022-01-12T06:18:51,2022-01-12T17:10:47,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,13-01-2022,25,18,20.7,25,18,20.7,18.4,87.2,0.487,100,4.17,rain,0,0,19.1,16.6,351.1,1014.9,76.3,2.4,180.9,16.3,7,10,2022-01-13T06:18:55,2022-01-13T17:11:30,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,14-01-2022,20.6,17,18.9,20.6,17,18.9,16.5,86.2,0.54,100,16.67,rain,0,0,19.4,14.8,19.6,1015.4,84.7,2,86.5,7.7,5,10,2022-01-14T06:18:58,2022-01-14T17:12:12,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42807099999,42714099999,42811099999,42805099999,VECC,42812099999,42809099999"
kolkata,15-01-2022,23.2,16.9,19.2,23.2,16.9,19.2,15.9,81.9,0.002,100,4.17,rain,0,0,23.8,18.4,351.2,1015.5,52.9,2.2,192.9,17,7,10,2022-01-15T06:18:59,2022-01-15T17:12:54,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,16-01-2022,22.2,15,18.3,22.2,15,18.3,13.9,76,0,0,0,,0,0,28.1,24.1,341.8,1017.2,6,2.6,199.7,17.7,8,10,2022-01-16T06:18:58,2022-01-16T17:13:37,0.49,Clear,Clear conditions throughout the day.,clear-day,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
