Time,PPM,latitude,longitude,elevation,status
0,308,,,,
20,306,,,,
40,307,,,,
60,297,,,,
80,304,,,,
100,290,,,,
120,181,,,,
140,201,,,,
160,197,,,,
180,197,,,,
200,202,,,,
220,207,,,,
240,213,,,,
260,196,,,,
280,198,,,,
300,202,,,,
320,199,,,,
340,207,,,,
360,204,,,,
380,198,,,,
400,195,,,,
420,195,,,,
440,180,,,,
460,190,,,,
480,193,,,,
500,181,,,,
520,175,,,,
540,172,,,,
560,187,,,,
580,175,,,,
600,180,,,,
620,172,,,,
640,171,,,,
660,185,,,,
680,173,,,,
700,171,,,,
720,183,,,,
740,170,,,,
760,194,,,,
780,180,,,,
800,173,,,,
820,182,,,,
840,200,,,,
860,187,,,,
880,165,,,,
900,181,,,,
920,169,,,,
940,169,,,,
960,168,,,,
980,165,,,,
1000,171,,,,
1020,169,,,,
1040,181,,,,
1060,174,,,,
1100,172,,,,
1120,172,,,,
1140,169,,,,
1160,161,,,,
1180,168,,,,
1200,166,,,,
1220,159,,,,
1240,162,,,,
1260,158,,,,
1280,159,,,,
1300,161,,,,
1320,160,,,,
1340,161,,,,
1360,158,,,,
1380,159,,,,
1400,159,,,,
1420,158,,,,
1440,159,,,,
1460,158,,,,
1480,198,,,,
1500,209,,,,
1520,214,,,,
1540,221,,,,
1560,220,,,,
1580,217,,,,
1600,206,,,,
1620,204,,,,
1640,219,,,,
1660,216,,,,
1680,211,,,,
1700,204,,,,
1840,224,,,,
1860,219,,,,
1880,210,,,,
1900,216,,,,
1920,217,,,,
1940,209,,,,
1960,209,,,,
1980,211,,,,
2000,206,,,,
2020,209,,,,
2040,210,,,,
2060,212,,,,
2080,214,,,,
2100,214,,,,
2120,213,,,,
2140,213,,,,
2160,210,,,,
2180,211,,,,
2200,211,,,,
2220,204,,,,
2240,210,,,,
2260,217,,,,
2280,211,,,,
2300,205,,,,
2320,210,,,,
2340,199,,,,
2360,200,,,,
2380,205,,,,
2400,197,,,,
2420,204,,,,
2440,199,,,,
2460,202,,,,
2480,205,,,,
2500,201,,,,
2520,204,,,,
2540,201,,,,
2560,202,,,,
2580,186,,,,
2600,202,,,,
2620,186,,,,
2640,197,,,,
2660,197,,,,
2680,184,,,,
2700,189,,,,
2720,189,,,,
2740,194,,,,
2760,172,,,,
2780,188,,,,
2800,181,,,,
2820,189,,,,
2840,192,,,,
2860,192,,,,
2880,190,,,,
2900,185,,,,
2920,185,,,,
2940,183,,,,
2960,190,,,,
2980,195,,,,
3000,190,,,,
3020,193,,,,
3040,181,,,,
3060,187,,,,
3080,182,,,,
3100,170,,,,
3120,178,,,,
3140,184,,,,
3160,181,,,,
