tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,sealevelpressure,conditions
23,16,19.1,23,16,19.1,15.1,79.3,0,0,0,1018.6,Clear
23,14,17.9,23,14,17.9,14.6,82.3,0,0,0,1017.3,cloudy
24,14,18.4,24,14,18.4,14.1,77.6,0,0,0,1015.9,Clear
23,13,17.6,23,13,17.6,13.4,78,0,0,0,1016.6,Clear
24,13,17.9,24,13,17.9,13,75.7,0,0,0,1015.8,Clear
25,13.9,19.1,25,13.9,19.1,13.6,73.7,0,0,0,1015.2,Clear
26,15,20.2,26,15,20.2,15.8,77.5,0,0,0,1015.9,Clear
27,16,21.3,27.3,16,21.4,15.8,73.4,0,0,0,1015.7,Clear
27,16.8,21.4,28.2,16.8,21.6,17.5,79.6,0,0,0,1013.7,Clear
26.7,16,21.6,27.5,16,21.6,17.7,79.6,0,0,0,1014.5,cloudy
27,18,22.2,28.8,18,22.4,18.9,82.6,11.491,100,4.17,1014.5,rainy
22,18,19.5,22,18,19.5,17.6,89.1,0.006,100,8.33,1014.4,rainy
25,18,20.7,25,18,20.7,18.4,87.2,0.487,100,4.17,1014.9,rainy
20.6,17,18.9,20.6,17,18.9,16.5,86.2,0.54,100,16.67,1015.4,rainy
23.2,16.9,19.2,23.2,16.9,19.2,15.9,81.9,0.002,100,4.17,1015.5,rainy
22.2,15,18.3,22.2,15,18.3,13.9,76,0,0,0,1017.2,Clear
23,13.8,17.9,23,13.8,17.9,13.9,78.3,0,0,0,1017.6,Clear
23,14,18.2,23,14,18.2,13.4,75.4,0,0,0,1015.1,Clear
23,14.6,18.2,23,14.6,18.2,14.2,78.7,0,0,0,1013,Clear
23,13,17.7,23,13,17.7,12.5,74.2,0,0,0,1011.2,Clear
24.6,14.9,19.4,24.6,14.9,19.4,16.4,83.2,0,0,0,1010.8,cloudy
23.1,16,19.8,23.1,16,19.8,17.8,88.2,1.004,100,4.17,1009.6,rainy
22.1,17,19.2,22.1,17,19.2,17.7,91.5,4.884,100,12.5,1010.4,rainy
22,16.9,18.8,22,16.9,18.8,16.3,86,0,0,0,1010.5,cloudy
25,16,20.8,25,16,20.8,18.4,87,0,0,0,1011.1,cloudy
24.8,17,20.7,24.8,17,20.7,17.4,82.1,0.012,100,4.17,1011.9,rainy
23,16.2,19.6,23,16.2,19.6,14.6,74.9,0,0,0,1013.5,Clear
21,13,16.9,21,13,16.9,10.5,67.6,0,0,0,1015.5,cloudy
21.1,12,16.6,21.1,12,16.6,10.6,70.4,0,0,0,1015.1,Clear
23,12,17.7,23,12,17.7,11,67.8,0,0,0,1012.3,Clear
26,14,19.9,26,14,19.9,15.5,77.4,0,0,0,1011.2,Clear
27,16,21.1,27.9,16,21.1,15.7,74.1,0,0,0,1009.4,cloudy
27.7,17,21.9,27.9,17,21.9,16.6,74.9,0,0,0,1011.6,cloudy
27.2,18,22.8,28.8,18,23.1,19.6,83.2,0,0,0,1011.3,cloudy
24,17,19.3,24,17,19.3,18.1,92.3,27.562,100,12.5,1009.1,rainy
23,16.3,19.3,23,16.3,19.3,14,74.2,0,0,0,1011.5,cloudy
23,13,18.1,23,13,18.1,12,69.8,0,0,0,1015.4,Clear
25,14.3,19,25,14.3,19,14.1,75.2,0,0,0,1014.8,Clear
26,14,20.2,26,14,20.2,16,78.3,0,0,0,1013.7,cloudy
26.1,16.9,21.4,26.1,16.9,21.4,18,82.6,0,0,0,1014,cloudy
22.8,17,20.4,22.8,17,20.4,18.8,90.6,0.162,100,4.17,1013.2,rainy
24,17.2,20.1,24,17.2,20.1,16.7,81.9,0,0,0,1013.5,cloudy
24,14.9,19.3,24,14.9,19.3,11.8,65.1,0,0,0,1013.8,Clear
25,14.8,19.5,25,14.8,19.5,12.1,64.8,0,0,0,1012.4,Clear
25.3,14,20,25.3,14,20,11.2,61.6,0,0,0,1012,Clear
26,14.6,20,26,14.6,20,12.3,65.1,0,0,0,1011.2,Clear
26,15,20.5,26,15,20.5,13.2,65.1,0,0,0,1009.5,Clear
27,17,21.7,27.3,17,21.7,14.6,66.2,0,0,0,1009.4,Clear
27,17,21.9,26.7,17,21.8,13.5,62.5,0,0,0,1011.2,Clear
28,16,22,27.3,16,21.9,13.1,60.8,0,0,0,1011.4,Clear
27,17,22.5,29.6,17,22.6,19.3,82.4,0,0,0,1007.7,cloudy
29,17,22.6,27.7,17,22.4,14.5,66.8,0,0,0,1008.3,cloudy
